"id","code","name","account_type","reconcile","chart_template_id/id","tag_ids/id"
"chart34002","340.02","Odchylenia od cen ewidencyjnych towarów","asset_current","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.Aktywa_B_I_4"
"chart40001","400.01","Amortyzacja ST","expense_depreciation","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.RZiSPor_B_I,trilab_pl_reports.RZiSKalk_E"
"chart40002","400.02","Amortyzacja WNiP","expense_depreciation","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.RZiSPor_B_I,trilab_pl_reports.RZiSKalk_E"
"chart40101","401.01","Materiały z zapasów","expense","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.RZiSPor_B_II,trilab_pl_reports.RZiSKalk_E"
"chart40102","401.02","Narzędzia","expense","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.RZiSPor_B_II,trilab_pl_reports.RZiSKalk_E"
"chart40103","401.03","Opakowania","expense","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.RZiSPor_B_II,trilab_pl_reports.RZiSKalk_E"
"chart40104","401.04","Części zamienne","expense","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.RZiSPor_B_II,trilab_pl_reports.RZiSKalk_E"
"chart40111","401.11","Materiały biurowe","expense","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.RZiSPor_B_II,trilab_pl_reports.RZiSKalk_E"
"chart40112","401.12","Artykuły spożywcze","expense","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.RZiSPor_B_II,trilab_pl_reports.RZiSKalk_E"
"chart40113","401.13","Drobne wyposażenie","expense","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.RZiSPor_B_II,trilab_pl_reports.RZiSKalk_E"
"chart40121","401.21","Paliwo","expense","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.RZiSPor_B_II,trilab_pl_reports.RZiSKalk_E"
"chart40122","401.22","Gaz","expense","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.RZiSPor_B_II,trilab_pl_reports.RZiSKalk_E"
"chart40123","401.23","Woda","expense","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.RZiSPor_B_II,trilab_pl_reports.RZiSKalk_E"
"chart40124","401.24","Energia elektryczna","expense","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.RZiSPor_B_II,trilab_pl_reports.RZiSKalk_E"
"chart40199","401.99","Pozostałe materiały i energia","expense","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.RZiSPor_B_II,trilab_pl_reports.RZiSKalk_E"
"chart40201","402.01","Usługi transport towarowy","expense","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.RZiSPor_B_III,trilab_pl_reports.RZiSKalk_E"
"chart40202","402.02","Usługi transport osobowy","expense","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.RZiSPor_B_III,trilab_pl_reports.RZiSKalk_E"
"chart40203","402.03","Usługi kurierskie i pocztowe","expense","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.RZiSPor_B_III,trilab_pl_reports.RZiSKalk_E"
"chart40204","402.04","Usługi spedycyjne","expense","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.RZiSPor_B_III,trilab_pl_reports.RZiSKalk_E"
"chart40205","402.05","Usługi outsourcingu","expense","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.RZiSPor_B_III,trilab_pl_reports.RZiSKalk_E"
"chart40206","402.06","Usuwanie odpadów i nieczystości","expense","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.RZiSPor_B_III,trilab_pl_reports.RZiSKalk_E"
"chart40207","402.07","Usługi remontu i konserwacji","expense","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.RZiSPor_B_III,trilab_pl_reports.RZiSKalk_E"
"chart40210","402.10","Usługi leasingu","expense","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.RZiSPor_B_III,trilab_pl_reports.RZiSKalk_E"
"chart40221","402.21","Usługi BHP","expense","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.RZiSPor_B_III,trilab_pl_reports.RZiSKalk_E"
"chart40222","402.22","Uslugi HR","expense","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.RZiSPor_B_III,trilab_pl_reports.RZiSKalk_E"
"chart40223","402.23","Usługi stałych współpracowników (B2B)","expense","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.RZiSPor_B_III,trilab_pl_reports.RZiSKalk_E"
"chart40224","402.24","Obsługa IT","expense","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.RZiSPor_B_III,trilab_pl_reports.RZiSKalk_E"
"chart40226","402.26","Usługi prawne","expense","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.RZiSPor_B_III,trilab_pl_reports.RZiSKalk_E"
"chart40227","402.27","Usługi księgowo-podatkowe","expense","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.RZiSPor_B_III,trilab_pl_reports.RZiSKalk_E"
"chart40228","402.28","Usługi telekomunikacyjne","expense","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.RZiSPor_B_III,trilab_pl_reports.RZiSKalk_E"
"chart40229","402.29","Usługi bankowe","expense","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.RZiSPor_B_III,trilab_pl_reports.RZiSKalk_E"
"chart40230","402.30","Usługi ubezpieczeniowe","expense","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.RZiSPor_B_III,trilab_pl_reports.RZiSKalk_E"
"chart40299","402.99","Pozostałe usługi obce","expense","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.RZiSPor_B_III,trilab_pl_reports.RZiSKalk_E"
"chart40301","403.01","Podatek od nieruchomości","expense","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.RZiSPor_B_IV,trilab_pl_reports.RZiSKalk_E"
"chart40302","403.02","Podatek transportowy","expense","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.RZiSPor_B_IV,trilab_pl_reports.RZiSKalk_E"
"chart40303","403.03","Opłaty środowiskowe","expense","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.RZiSPor_B_IV,trilab_pl_reports.RZiSKalk_E"
"chart40304","403.04","Nieodliczalny VAT","expense","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.RZiSPor_B_IV,trilab_pl_reports.RZiSKalk_E"
"chart40305","403.05","Akcyza","expense","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.RZiSPor_B_IV,trilab_pl_reports.RZiSKalk_E"
"chart40399","403.99","Pozostałe podatki i opłaty","expense","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.RZiSPor_B_IV,trilab_pl_reports.RZiSKalk_E"
"chart40401","404.01","Wynagrodzenia osobowe","expense","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.RZiSPor_B_V,trilab_pl_reports.RZiSKalk_E"
"chart40402","404.02","Wynagrodzenia bezosobowe","expense","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.RZiSPor_B_V,trilab_pl_reports.RZiSKalk_E"
"chart40403","404.03","Wynagrodzenia chorobowe","expense","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.RZiSPor_B_V,trilab_pl_reports.RZiSKalk_E"
"chart40499","404.99","Pozostałe wynagrodzenia","expense","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.RZiSPor_B_V,trilab_pl_reports.RZiSKalk_E"
"chart40501","405.01","Ubezpieczenia świadczenia: składki E-R","expense","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.RZiSPor_B_VI,trilab_pl_reports.RZiSKalk_E"
"chart40502","405.02","Ubezpieczenia świadczenia: składki wypadkowe","expense","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.RZiSPor_B_VI,trilab_pl_reports.RZiSKalk_E"
"chart40503","405.03","Ubezpieczenia świadczenia: fundusz pracy","expense","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.RZiSPor_B_VI,trilab_pl_reports.RZiSKalk_E"
"chart40504","405.04","Ubezpieczenia świadczenia: FGSP","expense","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.RZiSPor_B_VI,trilab_pl_reports.RZiSKalk_E"
"chart40511","405.11","Ubezpieczenia świadczenia: szkolenia","expense","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.RZiSPor_B_VI,trilab_pl_reports.RZiSKalk_E"
"chart40512","405.12","Ubezpieczenia świadczenia: ZFŚS","expense","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.RZiSPor_B_VI,trilab_pl_reports.RZiSKalk_E"
"chart40599","405.99","Pozostałe ubezpieczenia świadczenia ","expense","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.RZiSPor_B_VI,trilab_pl_reports.RZiSKalk_E"
"chart40601","406.01","Pozostałe: podróżne służbowe","expense","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.RZiSPor_B_VII,trilab_pl_reports.RZiSKalk_E"
"chart40603","406.03","Pozostale: prowizje handlowe","expense","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.RZiSPor_B_VII,trilab_pl_reports.RZiSKalk_E"
"chart40604","406.04","Pozostałe: licencje, subskrypcje, franszyza","expense","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.RZiSPor_B_VII,trilab_pl_reports.RZiSKalk_E"
"chart40605","406.05","Pozostałe: reprezentacja","expense","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.RZiSPor_B_VII,trilab_pl_reports.RZiSKalk_E"
"chart40699","406.99","Pozostałe: inne koszty","expense","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.RZiSPor_B_VII,trilab_pl_reports.RZiSKalk_E"
"chart490","490","Przeniesienie kosztów produkcji","expense","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.RZiSPor_A_II,trilab_pl_reports.RZiSKalk_E"
"chart580","580","Rozliczenie produkcji","asset_current","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.Aktywa_B_I_2"
"chart600","600","Wyroby gotowe","asset_current","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.Aktywa_B_I_3"
"chart620","620","Odchylenia od wyceny wyrobów gotowych","asset_current","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.Aktywa_B_I_3"
"chart64000","640.00","Czynne rozliczenia międzyokresowe kosztów","asset_current","True","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.Aktywa_B_IV"
"chart65001","650.01","Aktywa z tytułu odroczonego podatku dochodowego","asset_non_current","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.Aktywa_A_V_1"
"chart70101","701.01","Przychody netto ze sprzedaży wyrobów gotowych (produktów)","income","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.RZiSPor_A_I,trilab_pl_reports.RZiSKalk_A_I"
"chart70201","702.01","Przychody netto ze sprzedaży usług","income","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.RZiSPor_A_I,trilab_pl_reports.RZiSKalk_A_I"
"chart70301","703.01","Koszty sprzedanych wyrobów gotowych (produktów)","expense_direct_cost","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.RZiSPor_A_II,trilab_pl_reports.RZiSKalk_B_I"
"chart73001","730.01","Przychody netto ze sprzedanych towarów","income","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.RZiSPor_A_IV,trilab_pl_reports.RZiSKalk_A_II"
"chart73101","731.01","Wartość sprzedanych towarów w cenie zakupu/nabycia","expense_direct_cost","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.RZiSPor_B_VIII,trilab_pl_reports.RZiSKalk_B_II"
"chart74001","740.01","Przychody netto ze sprzedanych materiałów","income","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.RZiSPor_A_IV,trilab_pl_reports.RZiSKalk_A_II"
"chart74101","741.01","Wartość sprzedanych materiałów w cenie zakupu/nabycia","expense_direct_cost","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.RZiSPor_B_VIII,trilab_pl_reports.RZiSKalk_B_II"
